Job Title,Location,Salary,Monthly Salary,Locality,City,State,Annual Salary,Salary Level,Work Mode
Delivery Partner/Delivery Executive,"Bhubaneswar, Orissa","₹25,000 - ₹40,000 a month",32500.0,,Bhubaneswar,Orissa,390000.0,Market Standard Salary,Onsite
Software Sales Executive,"Calicut, Kerala","₹8,587.91 - ₹33,638.68 a month",21113.295,,Calicut,Kerala,253359.55,Market Standard Salary,Onsite
Tele Caller Executive,"New Alipur, Kolkata, West Bengal","₹8,000 - ₹12,500 a month",10250.0,New Alipur,Kolkata,West Bengal,123000.0,Market Standard Salary,Onsite
Need STUDY/TOURIST visa Councellor,"Ghumar Mandi, Ludhiana, Punjab","From ₹25,000 a month",,Ghumar Mandi,Ludhiana,Punjab,,High Standard Salary,Onsite
Tele Calling Executive,"Ashoknagar, Bengaluru, Karnataka","₹15,000 - ₹20,000 a month",17500.0,Ashoknagar,Bengaluru,Karnataka,210000.0,Market Standard Salary,Onsite
Territory Sales Officer,"Athgaon, Guwahati, Assam","₹15,000 - ₹21,000 a month",18000.0,Athgaon,Guwahati,Assam,216000.0,Market Standard Salary,Onsite
Draughtsman Mechanical,"Talawade, Pune, Maharashtra","₹10,000 - ₹18,000 a month",14000.0,Talawade,Pune,Maharashtra,168000.0,Market Standard Salary,Onsite
Business Development Executive,"Vadodara, Gujarat","₹10,000 - ₹36,000 a month",23000.0,,Vadodara,Gujarat,276000.0,Market Standard Salary,Onsite
Restaurant Staff,"Vizhinjam, Thiruvananthapuram, Kerala","₹15,000 - ₹40,000 a month",27500.0,Vizhinjam,Thiruvananthapuram,Kerala,330000.0,Market Standard Salary,Onsite
Aesthetic Surgeon,"Visakhapatnam, Andhra Pradesh","₹45,000 - ₹50,000 a month",47500.0,,Visakhapatnam,Andhra Pradesh,570000.0,Market Standard Salary,Onsite
JUNIOR ARCHITECT,"Salt Lake City, West Bengal","₹15,000 - ₹25,000 a month",20000.0,,Salt Lake City,West Bengal,240000.0,Market Standard Salary,Onsite
Delivery Partner/Delivery Executive,"Kolkata, West Bengal","₹15,000 - ₹35,000 a month",25000.0,,Kolkata,West Bengal,300000.0,Market Standard Salary,Onsite
Interior Designer,"Mumbai, Maharashtra","₹1,80,000 - ₹3,00,000 a year",240000.0,,Mumbai,Maharashtra,2880000.0,Above Medium Standard Salary,Onsite
"Inside Sales Account Manager - - Preferred from Hyderabad, TS","Hyderabad, Telangana","₹2,00,000 - ₹3,00,000 a year",250000.0,,Hyderabad,Telangana,3000000.0,Above Medium Standard Salary,Onsite
Community Associate (Social Worker),"Kochi, Kerala","₹12,000 - ₹25,000 a month",18500.0,,Kochi,Kerala,222000.0,Market Standard Salary,Onsite
Tele Marketing Executive,"Anna Nagar East, Chennai, Tamil Nadu","₹15,000 - ₹20,000 a month",17500.0,Anna Nagar East,Chennai,Tamil Nadu,210000.0,Market Standard Salary,Onsite
Customer Relationship Executive (for Rajkot candidate only),"Rajkot, Gujarat","₹10,000 - ₹25,000 a month",17500.0,,Rajkot,Gujarat,210000.0,Market Standard Salary,Onsite
Business Development Officer,"Bengaluru, Karnataka","₹11,025.27 - ₹30,000.00 a month",20512.635,,Bengaluru,Karnataka,246151.62,Market Standard Salary,Onsite
Delivery Executive/Delivery Partner,"Noida, Uttar Pradesh","₹18,000 - ₹35,000 a month",26500.0,,Noida,Uttar Pradesh,318000.0,Market Standard Salary,Onsite
Staff Nurse (Dermatology; Nungambakkam Chennai),"Nungambakkam, Chennai, Tamil Nadu","₹14,000 - ₹30,000 a month",22000.0,Nungambakkam,Chennai,Tamil Nadu,264000.0,Market Standard Salary,Onsite
Junior Landscape Architect,"Bengaluru, Karnataka","From ₹18,000 a month",,,Bengaluru,Karnataka,,High Standard Salary,Onsite
Stock Market Trader,"Gurugram, Haryana","₹50,000 - ₹2,00,000 a year",125000.0,,Gurugram,Haryana,1500000.0,Medium Standard Salary,Onsite
Sales executive-(MBA Freshers),"Kochi, Kerala","₹15,000 - ₹20,000 a month",17500.0,,Kochi,Kerala,210000.0,Market Standard Salary,Onsite
Sales Executive / Sales Manager - Real Estate,"Kochi, Kerala","₹20,000 - ₹30,000 a month",25000.0,,Kochi,Kerala,300000.0,Market Standard Salary,Onsite
Junior Sales and Marketing Executive (Healthcare),"Pune, Maharashtra","₹15,000 - ₹20,000 a month",17500.0,,Pune,Maharashtra,210000.0,Market Standard Salary,Onsite
Hairdresser,"Rajarajeshwari Nagar, Bengaluru, Karnataka","₹18,000 - ₹22,000 a month",20000.0,Rajarajeshwari Nagar,Bengaluru,Karnataka,240000.0,Market Standard Salary,Onsite
Commis Chef,"Andheri West, Mumbai, Maharashtra","₹9,686.71 - ₹23,431.79 a month",16559.25,Andheri West,Mumbai,Maharashtra,198711.0,Market Standard Salary,Onsite
Inside Sales Executive,"Vastrapur, Ahmedabad, Gujarat","₹15,000 - ₹25,000 a month",20000.0,Vastrapur,Ahmedabad,Gujarat,240000.0,Market Standard Salary,Onsite
Site Engineer,"Nandanam, Chennai, Tamil Nadu","From ₹15,000 a month",,Nandanam,Chennai,Tamil Nadu,,High Standard Salary,Onsite
Sales & Marketing Assistant manager,"Surat, Gujarat","₹18,000 - ₹20,000 a month",19000.0,,Surat,Gujarat,228000.0,Market Standard Salary,Onsite
Trainee,"Navadwip, West Bengal","₹10,000 - ₹12,000 a month",11000.0,,Navadwip,West Bengal,132000.0,Market Standard Salary,Onsite
Lead Generation Executive,"Mumbai, Maharashtra","₹10,000 - ₹13,000 a month",11500.0,,Mumbai,Maharashtra,138000.0,Market Standard Salary,Onsite
Sales & Marketing Assistant manager,"Mumbai, Maharashtra","₹20,000 - ₹22,000 a month",21000.0,,Mumbai,Maharashtra,252000.0,Market Standard Salary,Onsite
Physiotherapist,"Madurai, Tamil Nadu","₹8,086.00 - ₹29,664.21 a month",18875.105,,Madurai,Tamil Nadu,226501.27,Market Standard Salary,Onsite
Site Engineer,"Pimpri-Chinchwad, Maharashtra","₹10,601.15 - ₹15,000.00 a month",12800.575,,Pimpri-Chinchwad,Maharashtra,153606.9,Market Standard Salary,Onsite
Renewals Executive,"Mumbai, Maharashtra","₹10,000 - ₹13,000 a month",11500.0,,Mumbai,Maharashtra,138000.0,Market Standard Salary,Onsite
Electrical Engineer,"Thrissur, Kerala","₹15,000 - ₹20,000 a month",17500.0,,Thrissur,Kerala,210000.0,Market Standard Salary,Onsite
Field Sales Representative,"Karvenagar, Pune, Maharashtra","₹20,000 - ₹35,000 a month",27500.0,Karvenagar,Pune,Maharashtra,330000.0,Market Standard Salary,Onsite
Café All Rounder/Barista/Tea House Chef,"Tiruchchirappalli, Tamil Nadu","From ₹12,000 a month",,,Tiruchchirappalli,Tamil Nadu,,High Standard Salary,Onsite
Beauty and Massage Therapist,"Chennai, Tamil Nadu","From ₹20,000 a month",,,Chennai,Tamil Nadu,,High Standard Salary,Onsite
Back Office Executive (Operations Insurance),"Ujjain, Madhya Pradesh","₹10,500 - ₹20,000 a month",15250.0,,Ujjain,Madhya Pradesh,183000.0,Market Standard Salary,Onsite
Business Development Executive (Freshers & Experienced),"Chandigarh, Chandigarh",Not specified,,,Chandigarh,Chandigarh,,High Standard Salary,Onsite
Sales & Marketing Manager,"Kolkata, West Bengal","Up to ₹35,000 a month",,,Kolkata,West Bengal,,High Standard Salary,Onsite
Sales & Marketing Officer,"Kochi, Kerala","₹15,000 - ₹18,000 a month",16500.0,,Kochi,Kerala,198000.0,Market Standard Salary,Onsite
Field Sales Representative,"Bengaluru, Karnataka","₹15,000 - ₹25,000 a month",20000.0,,Bengaluru,Karnataka,240000.0,Market Standard Salary,Onsite
